,place,도로명,위도,경도,시설구분,5_score,4_score,3_score,2_score,1_score,Total
457,광교레이크스위첸,경기도 용인시 기흥구 흥덕2로117번길 14,37.2786452,127.0721345,아파트주차장,18,15,18,13,5,235
458,동아솔레시티,경기도 용인시 기흥구 보정로 30,37.311563,127.1123596,아파트주차장,10,10,21,31,20,235
459,동백역 경남아너스빌,경기도 용인시 기흥구 동백2로 12,37.2666613,127.1558939,아파트주차장,12,14,20,23,12,234
460,보정한화꿈에그린,경기도 용인시 기흥구 구교동로 17,37.3043289,127.1223932,아파트주차장,11,16,21,19,14,234
461,흥덕마을주공4단지,경기도 용인시 기흥구 흥덕2로 46,37.2716868,127.0741818,아파트주차장,16,19,11,16,13,234
462,금화마을주공4단지,경기도 용인시 기흥구 금화로58번길 10,37.2625199,127.1103673,아파트주차장,2,27,19,20,18,233
463,흥덕마을7단지힐스테이트,경기도 용인시 기흥구 흥덕2로 126,37.2794202,127.0735256,아파트주차장,20,14,16,12,5,233
464,호반베르디움,경기도 용인시 기흥구 구성로 411,37.2933522,127.153834,아파트주차장,15,18,13,20,6,232
465,영덕동,경기도 용인시 기흥구 흥덕2로 118번길 2,37.2718661,127.0737664,관공서,16,19,11,15,11,230
466,흥덕우미린레이크포레,경기도 용인시 기흥구 흥덕2로118번길 26,37.2718661,127.0737664,아파트주차장,16,19,11,15,11,230
467,용인흥덕아델리움8단지,경기도 용인시 기흥구 흥덕2로118번길 25,37.2718661,127.0737664,아파트주차장,16,19,11,15,11,230
468,힉스유타워 아파트,경기도 용인시 기흥구 중부대로 184,37.2653654,127.1005782,아파트주차장,11,11,21,20,27,229
469,기흥역롯데캐슬스카이,경기 용인시 기흥구 중부대로 375,37.2653654,127.1005782,아파트주차장,11,11,21,20,27,229
470,마북e편한세상,경기도 용인시 기흥구 마북로 210,37.306559,127.1285733,아파트주차장,12,16,16,19,18,228
471,금화마을대우현대,경기도 용인시 기흥구 금화로82번길 14,37.2646464,127.1099995,아파트주차장,3,19,22,24,22,227
472,인정프린스3차,경기도 용인시 처인구 경안천로 368,37.2638714,127.2167134,아파트주차장,16,14,13,16,19,226
473,금화마을주공6단지,경기도 용인시 기흥구 금화로11번길 9,37.2628099,127.1050877,아파트주차장,4,21,20,20,22,226
474,교동마을신창아파트,경기도 용인시 기흥구 마북로 186,37.3059191,127.1267138,아파트주차장,12,16,16,19,16,226
475,마평라이프,경기도 용인시 처인구 동부로 7,37.2320043,127.2143159,아파트주차장,16,6,25,14,18,225
476,금화마을주공5단지,경기도 용인시 기흥구 금화로82번길 17,37.2663947,127.1121786,아파트주차장,3,17,24,25,20,225
477,용인대우,경기도 용인시 기흥구 중부대로 735,37.262862,127.1411955,아파트주차장,12,23,12,13,11,225
478,휴먼시아흥덕마을1단지,경기도 용인시 기흥구 흥덕1로79번길 9,37.2744927,127.0691151,아파트주차장,17,15,17,12,4,224
479,금화마을주공3단지,경기도 용인시 기흥구 금화로11번길 10,37.2624271,127.1071395,아파트주차장,2,23,19,21,22,223
480,인정멜로디,경기도 용인시 처인구 포곡로61번길 17,37.2701831,127.2123037,아파트주차장,17,8,22,11,16,221
481,물푸레마을휴먼시아5단지,경기도 용인시 기흥구 구성3로 38,37.2955695,127.150906,아파트주차장,16,11,16,21,7,221
482,지석마을진흥더루벤스2차,경기도 용인시 기흥구 중부대로746번길 21,37.2593378,127.1385907,아파트주차장,12,17,19,11,13,220
483,푸른마을 용인 자이 아파트,경기도 용인시 처인구 금학로 520,37.2343196,127.2185868,아파트주차장,19,5,22,13,13,220
484,우남퍼스트빌,경기도 용인시 수지구 신봉1로 27,37.319775,127.0806664,아파트주차장,16,15,5,26,12,219
485,물푸레마을휴먼시아2단지,경기도 용인시 기흥구 구성3로 37,37.2954196,127.1492204,아파트주차장,16,10,17,20,8,219
486,광교휴먼시아41단지,경기도 용인시 수지구 광교마을로 90,37.2954416,127.0757315,아파트주차장,24,5,12,13,14,216
487,청현마을 두진,경기도 용인시 기흥구 덕영대로2077번길 8,37.2686108,127.096387,아파트주차장,16,4,21,18,21,216
488,신촌마을포스홈타운1단지,경기도 용인시 기흥구 용구대로2518번길 15,37.3106907,127.1101937,아파트주차장,7,11,20,29,19,216
489,래미안이스트팰리스4단지,경기도 용인시 수지구 동천로153번길 6,37.3356019,127.0850101,아파트주차장,16,18,4,17,18,216
490,영덕신일,경기도 용인시 기흥구 덕영대로2077번길 20,37.2675494,127.095916,아파트주차장,16,4,21,17,22,215
491,참솔마을월드메르디앙,경기도 용인시 기흥구 동백죽전대로 283,37.2648552,127.1538283,아파트주차장,11,12,18,21,14,213
492,진우,경기도 용인시 처인구 중부대로 1144,37.2390156,127.1717026,아파트주차장,12,15,6,30,15,213
493,수원동마을쌍용아파트,경기도 용인시 기흥구 중부대로788번길 22,37.2572094,127.1389599,아파트주차장,12,14,21,10,14,213
494,지석마을진흥더루벤스1단지,경기도 용인시 기흥구 중부대로746번길 20,37.2609884,127.1374524,아파트주차장,10,19,16,12,11,209
495,용인행정타운두산위브2단지,경기도 용인시 처인구 지삼로590번길 9,37.2407937,127.1685228,아파트주차장,17,9,7,26,15,209
496,한보라 더힐,경기도 용인시 기흥구 한보라1로 91,37.2475962,127.1068039,아파트주차장,2,22,18,10,35,207
497,동원로얄듀크,경기도 용인시 기흥구 죽현로 12,37.318504,127.11007,아파트주차장,15,16,8,12,20,207
498,호텔주노,경기도 용인시 처인구 중부대로 1081,37.24349041,127.1671165,숙박업소,22,8,7,15,12,205
499,칼리야 모텔,경기도 용인시 처인구 중부대로 1077,37.24360737,127.1670371,숙박업소,22,8,7,15,12,205
500,모현모텔,경기도 용인시 처인구 모현읍 백옥대로2384번길 21-27,37.33660294,127.2507631,숙박업소,11,16,20,4,18,205
501,수원동마을쌍용스윗닷홈2단지,경기도 용인시 기흥구 중부대로788번길 15,37.2558923,127.1414775,아파트주차장,11,12,24,8,13,204
502,구성더포레스트,경기도 용인시 기흥구 구성로 475,37.2936263,127.146836,아파트주차장,14,9,15,20,8,199
503,백현마을주공9단지,경기도 용인시 기흥구 동백8로131번길 20,37.2823852,127.1666818,아파트주차장,13,13,14,12,15,198
504,김량장동현대아파트,경기도 용인시 처인구 백옥대로1068번길 12,37.2301687,127.2115864,아파트주차장,15,6,19,12,15,195
505,화성파크드림프라브,경기도 용인시 기흥구 한보라2로 141,37.2453941,127.1106566,아파트주차장,5,19,13,12,31,195
506,내대지마을주공5단지,경기도 용인시 수지구 디지털벨리로 21,37.3297068,127.1325894,아파트주차장,11,9,17,22,9,195
507,인정프린스4차,경기도 용인시 기흥구 중부대로 820,37.2559873,127.1428991,아파트주차장,10,10,25,8,13,194
508,행정타운늘푸른오스카빌,경기도 용인시 처인구 중부대로1158번길 12,37.2377369,127.1704115,아파트주차장,11,12,6,28,14,191
509,동부동,경기도 용인시 처인구 중부대로 1574,37.2327418,127.2191418,관공서,17,4,18,11,13,190
510,서천마을2단지,경기도 용인시 기흥구 서천로128번길 12,37.2380967,127.0722069,아파트주차장,11,21,7,8,11,187
511,용인삼가풍림,경기도 용인시 처인구 금학로1번길 9,37.2460967,127.1669913,아파트주차장,22,8,6,8,8,184
512,용인기흥 효성해링턴플레이스아파트,경기도 용인시 기흥구 덕영대로2077번길 33,37.2668569,127.0938951,아파트주차장,14,5,18,12,16,184
513,흥덕11단지경남아너스빌,경기도 용인시 기흥구 흥덕중앙로105번길 41,37.2804603,127.0777212,아파트주차장,14,13,11,9,9,182
514,성지네트웍스 더트리니호텔,경기도 용인시 처인구 중부대로 1218,37.23730792,127.1806162,숙박업소,5,16,11,22,14,180
515,더트리니호텔(THE TRINY HOTEL),경기도 용인시 처인구 중부대로 1218,37.23730792,127.1806162,숙박업소,5,16,11,22,14,180
516,초당마을삼부르네상스아파트,경기도 용인시 기흥구 동백1로 9,37.2642454,127.1574124,아파트주차장,9,10,17,18,8,180
517,(주)청송네트웍스(더트리니호텔),경기도 용인시 처인구 중부대로 1218,37.23730792,127.1806162,숙박업소,5,16,11,22,14,180
518,물푸레마을휴먼시아1단지,경기도 용인시 기흥구 구성2로 52,37.2949904,127.1468115,아파트주차장,14,7,14,16,7,179
519,용인센트럴코업호텔(yongincentral coophotel),경기도 용인시 처인구 중부대로 1216,37.23741438,127.1799844,숙박업소,6,16,10,22,11,179
520,동천더샵파크사이드,경기도 용인시 수지구 동천로178번길 4,37.3397068,127.0849429,아파트주차장,15,14,2,14,12,177
521,엠스테이호텔 경기기흥,경기도 용인시 기흥구 서천로117번길 7,37.2373132,127.073524,숙박업소,12,17,7,8,10,175
522,풍산햇빛마을,경기도 용인시 처인구 백옥대로2332번길 21-8,37.3326198,127.2496088,아파트주차장,10,11,18,3,19,173
523,서천마을휴먼시아3단지,경기도 용인시 기흥구 서천서로 125,37.235632,127.0701048,아파트주차장,10,18,9,7,9,172
524,센트럴파크원,경기도 용인시 기흥구 서천서로 27,37.235632,127.0701048,아파트주차장,10,18,9,7,9,172
525,신봉동부센트레빌6단지아파트,경기도 용인시 수지구 신봉1로 216,37.3332126,127.0648895,아파트주차장,12,15,6,12,9,171
526,구성신일해피트리,경기도 용인시 기흥구 구성로 184,37.2906602,127.1300277,아파트주차장,11,15,11,7,8,170
527,물푸레마을경남아너스빌,경기도 용인시 기흥구 구성로 470,37.2976382,127.1531397,아파트주차장,12,9,11,17,4,167
528,Monterey17 Hotel,경기도 용인시 기흥구 사은로 173,37.25616233,127.124344,숙박업소,13,10,17,4,2,166
