,place,도로명,위도,경도,시설구분,5_score,4_score,3_score,2_score,1_score,Total
29,용인수지동도센트리움 아파트,경기도 용인시 수지구 이현로 125,37.3118374,127.0914235,아파트주차장,10,10,5,5,5,120
30,원대마을한신아파트,경기도 용인시 기흥구 신갈로 102,37.276014,127.1064502,아파트주차장,5,15,0,10,15,120
31,성동마을 엘지빌리지3차,경기도 용인시 수지구 성복2로 126,37.3177395,127.0727057,아파트주차장,15,5,0,10,5,120
32,엘지빌리지2차,경기도 용인시 수지구 수지로113번길 15,37.312431,127.078327,아파트주차장,15,5,5,0,10,120
33,꽃메마을한라프로방스,경기도 용인시 수지구 죽전로 111,37.3232078,127.1194901,아파트주차장,15,10,0,0,5,120
34,만현마을쌍용1차,경기도 용인시 수지구 만현로 107,37.3061564,127.0882807,아파트주차장,5,20,5,0,0,120
35,스위트홈아파트,경기도 용인시 처인구 금령로12번길 12,37.2340351,127.1982669,아파트주차장,15,10,0,0,5,120
36,대지마을2차현대홈타운,경기도 용인시 수지구 현암로 54,37.3307647,127.1150823,아파트주차장,10,10,5,5,0,115
37,수지센트럴아이파크,경기도 용인시 수지구 상현로 101,37.3069417,127.0825193,아파트주차장,10,10,5,5,0,115
38,신갈신미주,경기도 용인시 기흥구 신갈로138번길 12,37.2783974,127.107181,아파트주차장,10,5,5,10,10,115
39,삼환,경기도 용인시 처인구 중부대로1388번길 6-4,37.2331756,127.1976213,아파트주차장,15,10,0,0,0,115
40,신갈삼익,경기도 용인시 기흥구 신갈로124번길 3,37.2783787,127.1062543,아파트주차장,10,5,5,10,10,115
41,지석마을그대가크레던스,경기도 용인시 기흥구 어정로 62-28,37.2684339,127.1361769,아파트주차장,5,20,0,0,5,110
42,새천년그린빌주공2단지,경기도 용인시 기흥구 새천년로 27,37.2898634,127.1120462,아파트주차장,10,10,0,10,0,110
43,수지금호베스트빌5단지,경기도 용인시 수지구 심곡로 16,37.3070247,127.0780026,아파트주차장,10,5,10,5,0,110
44,에버파크,경기도 용인시 처인구 포곡읍 전대로 88,37.2854315,127.2165624,숙박업소,10,5,10,5,0,110
45,민속마을현대모닝사이드,경기도 용인시 기흥구 사은로126번길 46,37.2522675,127.1205248,아파트주차장,10,0,20,0,0,110
46,구갈강남마을 계룡리슈빌,경기도 용인시 기흥구 강남동로 54,37.2694517,127.1335325,아파트주차장,5,15,5,5,0,110
47,지석마을진흥더루벤스2차,경기도 용인시 기흥구 중부대로746번길 21,37.2593378,127.1385907,아파트주차장,10,10,5,0,5,110
48,수지한신,경기도 용인시 수지구 대지로 27,37.3279466,127.1126149,아파트주차장,10,5,5,5,15,110
