구,동,구분,단지명,세대수,사용검사일,도로명주소,Latitude,Longitude
기흥구,중동 ,임대,초당마을 3단지 주공아파트,816,2006.04.27.,"기흥구 동백중앙로 41  (중동, 초당마을주공아파트)",37.2597422,127.1618492
기흥구,보정동,분양,솔뫼마을 현대홈타운,382,2001.12.20.,"기흥구 이현로30번길 7 (보정동, 솔뫼마을현대홈타운)",37.3095812,127.097069
기흥구,보정동,분양,연원마을 금호베스트빌,144,2002.06.21.,"기흥구 용구대로 2442-2 (보정동, 연원마을금호아파트)",37.304093,127.1073251
기흥구,보정동,분양,연원마을 삼성명가타운아파트,424,2002.12.13.,"기흥구 용구대로 2460 (보정동, 연원마을삼성명가타운아파트)",37.3050968,127.1080476
기흥구,보정동,분양,죽전 극동 스타클래스 3차,36,2010.04.30.,"기흥구 죽현로80번길 38 (보정동, 죽전마을스타클래스3차)",37.3160402,127.1222959
기흥구,보정동,분양,죽전 힐스테이트 타운하우스,27,2009.12.24.,"기흥구 죽현로 59-27 (보정동, 죽전 힐스테이트 타운하우스)",37.3192619999999,127.119185
기흥구,보정동,분양,죽현마을 엘지자이,238,2004.06.30.,"기흥구 보정로 88 (보정동, 죽현마을 엘지자이)",37.3175121,127.1149354
기흥구,보정동,분양,죽전 누리에뜰(주상복합),200,2005.12.30.,"기흥구 죽전로 20 (보정동, 죽전누리에뜰아파트)",37.3201958,127.1106855
기흥구,보정동,분양,죽현마을 아이파크,1466,2004.07.26,"기흥구 보정로 87 (보정동, 현대아이파크1차아파트)",37.3240114,127.120518
기흥구,보정동,분양,죽현마을 동원로얄듀크,706,2006.04.27.,"기흥구 죽현로 12 (보정동, 죽현마을동원로얄듀크아파트)",37.3175121,127.1149354
기흥구,보정동,분양,신촌마을 현대포스홈타운 1단지,884,2004.09.30.,"기흥구 용구대로2518번길 15 (보정동, 신촌마을포스홈타운1단지아파트)",37.3111539,127.1101312
기흥구,보정동,분양,신촌마을 상록데시앙,230,2006.9.29.,"기흥구 보정로 26 (보정동, 신촌마을 상록데시앙)",37.3105106,127.1089422
기흥구,보정동,분양,죽전자이2차 아파트(주상복합),275,2005.12.30.,"기흥구 용구대로2469번길 20 (보정동, 자이아파트)",37.3079519,127.1063048
기흥구,보정동,분양,죽전 일성트루엘,64,2010.12.14.,"기흥구 용구대로2469번길 10 (보정동, 죽전 일성트루엘)",37.3074854,127.1059921
기흥구,보정동,분양,신촌마을 현대포스홈타운 2단지,423,2004.09.30.,"기흥구 신촌로47번길 11 (보정동, 신촌마을포스홈타운2단지아파트)",37.3105106,127.1089422
기흥구,보정동,분양,용인 죽전 비스하임 타운하우스,21,2010.09.28.,기흥구 신촌로73번길 10 (보정동),37.3071232,127.1131755
기흥구,보정동,분양,신촌마을 죽전스타클래스 타운하우스,36,2008.03.31.,"기흥구 신촌로 77 (보정동, 신촌마을 죽전스타클래스타운하우스)",37.3062356999999,127.113797
기흥구,보정동,분양,용인보정 꿈에그린아파트,379,2012.10.30.,"기흥구 구교동로 17 (보정동, 용인보정꿈에그린아파트)",37.3194191,127.1165151
기흥구,보정동,분양,연원마을 성원A,691,2000.11.01.,"기흥구 연원로 49 (보정동, 연원마을성원상떼빌아파트)",37.3013889,127.1105556
기흥구,상갈동,분양,넥스빌아파트,142,1997.06.26.,"기흥구 금화로108번길 21 (상갈동, 넥스빌아파트)",37.2680671,127.106189
기흥구,상갈동,분양,금화마을 주공그린빌5단지,681,2001.10.16.,"기흥구 금화로82번길 17 (상갈동, 금화마을주공5단지아파트)",37.2664072,127.1120483
기흥구,상갈동,분양,금화마을 대우현대아파트,664,2001.06.20.,"기흥구 금화로82번길 14 (상갈동, 금화마을대우현대1단지아파트)",37.2624231,127.1071632
수지구,동천동 ,분양,동문그린아파트,227,1998. 11. 14.,"수지구 고기로45번길 58 (동천동, 동문그린아파트)",37.3393702,127.0929647
