시군명,사업장명,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,
용인시,(주)에스디인터내셔날나인블럭신갈점,"경기도 용인시 기흥구 용구대로2145번길 31 (신갈동, 2층)","경기도 용인시 기흥구 신갈동 388-138 외1필지, 2층 ",16966,37.28203965,127.104429,
용인시,(주)에스앤에스컴퍼니 서가앤쿡AK&기흥점,"경기도 용인시 기흥구 기흥역로 63, 상가동 3층 일부호 (구갈동, 힐스테이트 기흥)",경기도 용인시 기흥구 구갈동 234 힐스테이트 기흥 ,17065,37.27533201,127.1177629,
용인시,(주)에스앤에스코퍼레이션 토끼정AK&기흥점,"경기도 용인시 기흥구 기흥역로 63, 상가동 3층 일부호 (구갈동, 힐스테이트 기흥)",경기도 용인시 기흥구 구갈동 234 힐스테이트 기흥 ,17065,37.27533201,127.1177629,
용인시,(주)에스앤에스펌 서가앤쿡 신세계경기점,경기도 용인시 수지구 포은대로 536 (주)신세계백화점경기점 7층 일부호 (죽전동),경기도 용인시 수지구 죽전동 1285 (주)신세계백화점경기점 ,16896,37.32500317,127.1081093,
용인시,(주)에스엔제이푸드 레이크사이드점,경기도 용인시 처인구 모현읍 능원로 181,경기도 용인시 처인구 모현읍 능원리 산 5-12 ,16887,37.32137514,127.1783872,
용인시,(주)에스엠에스트레이딩 용인지점,"경기도 용인시 처인구 백옥대로 1104, 1층 113호 (김량장동, 용인에스원스마트빌)",경기도 용인시 처인구 김량장동 63-9 용인에스원스마트빌 ,17051,37.23414601,127.2093997,
용인시,(주)에스피씨삼립 용인(강릉)휴게소(한식),경기도 용인시 처인구 주북로94번길 30-1 (고림동),경기도 용인시 처인구 고림동 11 ,17149,37.24551679,127.2423138,
용인시,(주)에스피씨삼립 용인(강릉)휴게소(한촌설렁탕),"경기도 용인시 처인구 주북로94번길 30-1 (고림동,용인(하)휴게소)",경기도 용인시 처인구 고림동 11 용인(하)휴게소 ,17149,37.24551679,127.2423138,
용인시,(주)에스피씨삼립 용인(인천)휴게소(롯데리아),"경기도 용인시 처인구 주북로 66-16 (고림동,용인(상)휴게소)",경기도 용인시 처인구 고림동 89 용인(상)휴게소 ,17039,37.24809212,127.2369942,
용인시,(주)에스피씨삼립 용인(인천)휴게소(우동김밥),"경기도 용인시 처인구 주북로 66-16 (고림동,용인(상)휴게소)",경기도 용인시 처인구 고림동 89 용인(상)휴게소 ,17039,37.24809212,127.2369942,
용인시,(주)에스피씨삼립 용인(인천)휴게소(한식),경기도 용인시 처인구 주북로 66-16 (고림동),경기도 용인시 처인구 고림동 89 ,17039,37.24809212,127.2369942,
용인시,(주)에스피씨삼립 용인(인천)휴게소(한촌설렁탕),"경기도 용인시 처인구 주북로 66-16 (고림동,용인(상)휴게소)",경기도 용인시 처인구 고림동 89 용인(상)휴게소 ,17039,37.24809212,127.2369942,
용인시,(주)에스피씨삼립용인(강릉)휴게소(우동김밥),"경기도 용인시 처인구 주북로94번길 30-1 (고림동,용인하휴게소)",경기도 용인시 처인구 고림동 11 용인하휴게소 ,17149,37.24551679,127.2423138,
용인시,(주)올킹 자작나무갈비 용인동백점,"경기도 용인시 기흥구 동백죽전대로 557, 1,2층 (동백동)","경기도 용인시 기흥구 동백동 499 1,2층 ",16992,37.2882028,127.1494331,
용인시,(주)우리소,경기도 용인시 처인구 양지면 남평로 176,경기도 용인시 처인구 양지면 제일리 657-4 ,17162,37.22937847,127.3015064,
용인시,(주)우리소 2,경기도 용인시 처인구 양지면 남평로 176 (외1필지),경기도 용인시 처인구 양지면 제일리 655-4 외1필지 ,17162,37.22937847,127.3015064,
용인시,(주)원푸드코리아 수지점,"경기도 용인시 수지구 동천로 349, 1층 (동천동, 101호)",경기도 용인시 수지구 동천동 589-4번지 101호,16802,37.3420649,127.0672181,
용인시,(주)이마트 보라점 생선회코너,"경기도 용인시 기흥구 한보라1로 92 (보라동,지하1층)",경기도 용인시 기흥구 보라동 623-1 지하1층 ,17080,37.24750936,127.1050945,
용인시,(주)제너시스 비비큐 광교상현점,경기도 용인시 수지구 광교중앙로295번길 13,,,,,
용인시,(주)조이에프앤비항아리보쌈,"경기도 용인시 처인구 양지면 죽양대로2016번길 8, 1층",경기도 용인시 처인구 양지면 평창리 642-1번지 ,17163,37.21658539,127.3203676,
용인시,(주)진수캐더링,"경기도 용인시 기흥구 농서로153번길 8 (농서동, A동 1층)",경기도 용인시 기흥구 농서동 128 A동 1층 ,17114,37.22419172,127.0793805,
용인시,(주)진주랑 은화삼cc점,"경기도 용인시 처인구 백옥대로 860-38 (호동, 은화삼컨트리클럽 직원식당)",경기도 용인시 처인구 호동 16-26 ,17140,37.2141709,127.2131168,
용인시,(주)쮸커커피 기흥지점,"경기도 용인시 기흥구 중부대로 184, 힉스유타워 힉스유타워 A동 B240호 (영덕동)",경기도 용인시 기흥구 영덕동 1315 힉스유타워 A동 B240호,17095,37.26857017,127.0904012,
용인시,(주)청송본가,경기도 용인시 기흥구 용구대로 2439,,,,,
용인시,(주)청학(페이지웨딩&파티),"경기도 용인시 처인구 백옥대로 1238, 3~5층 (유방동)",경기도 용인시 처인구 유방동 519-1번지 3~5층 ,17043,37.2454679,127.2132035,
용인시,(주)캘리스코히바린 신세계경기점,"경기도 용인시 수지구 포은대로 536 (죽전동, 신세계백화점경기점 7층)",경기도 용인시 수지구 죽전동 1285 신세계백화점경기점 7층 ,16896,37.32500317,127.1081093,
용인시,(주)커스텀커피,경기도 용인시 처인구 포곡읍 석성로888번길 1,,,,,
용인시,(주)토끼정,"경기도 용인시 수지구 포은대로 536 (죽전동, 신세계백화점 경기점 7층)",경기도 용인시 수지구 죽전동 1285 신세계백화점 경기점 7층 ,16896,37.32500317,127.1081093,
용인시,(주)통닭,"경기도 용인시 수지구 문인로 60, 1층 일부호 (동천동)",경기도 용인시 수지구 동천동 884-4 ,16828,37.33335478,127.0961228,
용인시,(주)프레쉬로스터커피톤야코리아,"경기도 용인시 기흥구 구갈로 15, 우림아파트 상가동 1층일부 (구갈동)",경기도 용인시 기흥구 구갈동 404-2 우림아파트 상가동 1층일부 ,16971,37.27605194,127.1118599,
용인시,(주)한국관,"경기도 용인시 기흥구 기흥단지로 8 (고매동,외1필지)",경기도 용인시 기흥구 고매동 413-27 외1필지 ,17086,37.22248075,127.1033877,
용인시,(주)힐라로스 사은정,"경기도 용인시 수지구 광교중앙로 301, 107, 203호 (상현동)",경기도 용인시 수지구 상현동 1117-7 ,16944,37.296959,127.0686743,
용인시,1.5.3 맛집,"경기도 용인시 기흥구 동백죽전대로 444, 쥬네브 지하1층 B043호 (중동)",경기도 용인시 기흥구 중동 833 쥬네브썬월드빌딩 ,17006,37.27799636,127.1515898,
용인시,100반&국수,"경기도 용인시 처인구 금학로 517, A동 (마평동)",경기도 용인시 처인구 마평동 522-6번지 A동 ,17144,37.2341024,127.2201474,
용인시,101번지남산돈까스 롯데몰수지점,"경기도 용인시 수지구 성복2로 38, 롯데몰성복점 4층 일부호 (성복동)",경기도 용인시 수지구 성복동 23번지 롯데몰성복점 ,16847,37.31268183,127.083302,
용인시,133번지국밥,경기도 용인시 처인구 금령로85번길 8 (김량장동),경기도 용인시 처인구 김량장동 133-122 ,17052,37.23612941,127.2058747,
용인시,1357 쭈꾸미 전문,경기도 용인시 수지구 죽전로144번길 8-2 (죽전동),경기도 용인시 수지구 죽전동 1325-7 ,16889,37.32335951,127.1238066,
용인시,1392푸드,경기도 용인시 처인구 포곡읍 포곡로124번길 12,경기도 용인시 처인구 포곡읍 둔전리 155-15 ,17027,37.26955097,127.2197531,
용인시,139오리골,경기도 용인시 처인구 포곡읍 포곡로108번길 13-6 (외1필지),경기도 용인시 처인구 포곡읍 둔전리 139-32 외1필지 ,17027,37.26850368,127.2190464,
용인시,1430감성포차,"경기도 용인시 처인구 중부대로 1430, 1층 일부 (김량장동)",경기도 용인시 처인구 김량장동 343-5 ,17062,37.2326704,127.2032163,
용인시,153POINTZ부대찌개,"경기도 용인시 처인구 한터로 184-29, 가동 (고림동)",경기도 용인시 처인구 고림동 246-1번지 외3필지 가동 ,17039,37.248745,127.2339853,
용인시,153닭갈비(일오삼닭갈비),경기도 용인시 기흥구 이현로29번길 56,,,,,
용인시,153산골가든,경기도 용인시 처인구 이동읍 한덕로7번길 2,경기도 용인시 처인구 이동읍 묵리 659-1 ,17132,37.18391534,127.2344905,
용인시,153포인츠부대찌개,"경기도 용인시 기흥구 보정로 115 (보정동, 우영프라자 104호)",경기도 용인시 기흥구 보정동 1266-2번지 우영프라자 104호 ,16898,37.31976498,127.1151353,
용인시,153포인츠부대찌개 명지대점,"경기도 용인시 처인구 명지로 77-1, 샤론빌 1층 (역북동)",경기도 용인시 처인구 역북동 598-3번지 ,17057,37.2291378,127.1882667,
용인시,17마일(mile),"경기도 용인시 기흥구 사은로 173, 모텔C.C 1층일부 (지곡동)",경기도 용인시 기흥구 지곡동 611-1 모텔C.C 1층일부 ,17076,37.25616233,127.124344,
용인시,180 펍(180 PUB),"경기도 용인시 수지구 광교호수로360번길 9-1 (상현동, 1층 일부)",경기도 용인시 수지구 상현동 1161-4번지 1층 일부,16940,37.2957086,127.0801372,
용인시,1819(일팔일구),"경기도 용인시 수지구 고기로 464 (고기동, 외1필지 1,2층)","경기도 용인시 수지구 고기동 220-11번지 외1필지 1,2층 ",16801,37.3603961,127.0581132,
용인시,1943용인역북점,경기도 용인시 처인구 명지로40번길 15-15,,,,,
