,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,Latitude,Longitude,이용가능시간,이용자 제한,지번주소,행정동
32,한국전력,대주피오레1단지,2,AC완속,경기도,용인시,경기도 용인시 기흥구 공세동 탑실로 15,37.2401063,127.1084713,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 공세동 694 탑실마을 대주피오레1단지,기흥동
33,한국전력,대주피오레1단지,3,AC완속,경기도,용인시,경기도 용인시 기흥구 공세동 탑실로 15,37.2401063,127.1084713,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 공세동 694 탑실마을 대주피오레1단지,기흥동
34,한국전력,대주피오레1단지,4,AC완속,경기도,용인시,경기도 용인시 기흥구 공세동 탑실로 15,37.2401063,127.1084713,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 공세동 694 탑실마을 대주피오레1단지,기흥동
35,한국전력,도담마을푸르지오,1,AC완속,경기도,용인시,경기도 용인시 수지구 죽전동 푸른솔로 41,37.324006,127.1149923,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 수지구 죽전동 1275 도담마을푸르지오,죽전1동
36,한국전력,도담마을푸르지오,2,AC완속,경기도,용인시,경기도 용인시 수지구 죽전동 푸른솔로 41,37.324006,127.1149923,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 수지구 죽전동 1275 도담마을푸르지오,죽전1동
37,한국전력,동문3차아파트,1,AC완속,경기도,용인시,경기도 용인시 수지구 동천동 858,37.3383055,127.0937324,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 동천동 858 동천마을 동문굿모닝힐3차아파트,동천동
38,한국전력,동문3차아파트,2,AC완속,경기도,용인시,경기도 용인시 수지구 동천동 858,37.3383055,127.0937324,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 동천동 858 동천마을 동문굿모닝힐3차아파트,동천동
39,한국전력,동문6차굿모닝힐아파트,1,AC완속,경기도,용인시,경기도 용인시 수지구 동천동 동천로 53,37.3398297,127.0972126,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 동천동 913 동문굿모닝힐6차아파트,동천동
40,한국전력,동문6차굿모닝힐아파트,2,AC완속,경기도,용인시,경기도 용인시 수지구 동천동 동천로 53,37.3398297,127.0972126,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 동천동 913 동문굿모닝힐6차아파트,동천동
41,한국전력,동백금호어울림타운하우스A,1,AC완속,경기도,용인시,경기도 용인시 기흥구 중동 동백4로 53,37.2725569,127.1567504,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 중동 863 성산마을 어울림타운하우스,동백2동
42,한국전력,동백금호어울림타운하우스B,1,AC완속,경기도,용인시,경기도 용인시 기흥구 중동 동백4로 27,37.272339,127.1536126,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 중동 865 성산마을어울림타운하우스,동백2동
43,한국전력,동백하우스토리,1,AC완속,경기도,용인시,경기도 용인시 기흥구 중동 동백5로 62,37.2746031,127.1560871,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 중동 869 성산마을 남광하우스토리,동백2동
44,한국전력,동백하우스토리,2,AC완속,경기도,용인시,경기도 용인시 기흥구 중동 동백5로 62,37.2746031,127.1560871,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 중동 869 성산마을 남광하우스토리,동백2동
45,한국전력,동부센트레빌5차,2,AC완속,경기도,용인시,경기도 용인시 수지구 신봉동 신봉1로 214,37.3299595,127.0670297,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 신봉동 949 신봉마을 동부센트레빌 5단지,신봉동
46,한국전력,동부센트레빌5차,3,AC완속,경기도,용인시,경기도 용인시 수지구 신봉동 신봉1로 214,37.3299595,127.0670297,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 신봉동 949 신봉마을 동부센트레빌 5단지,신봉동
47,한국전력,동아솔레시티 아파트,3,AC완속,경기도,용인시,경기도 용인시 기흥구 보정동 보정로 30,37.311563,127.1123596,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 보정동 1162 행원마을동아솔레시티아파트,보정동
48,한국전력,동아솔레시티 아파트,4,AC완속,경기도,용인시,경기도 용인시 기흥구 보정동 보정로 30,37.311563,127.1123596,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 보정동 1162 행원마을동아솔레시티아파트,보정동
49,한국전력,동아솔레시티 아파트,5,AC완속,경기도,용인시,경기도 용인시 기흥구 보정동 보정로 30,37.311563,127.1123596,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 보정동 1162 행원마을동아솔레시티아파트,보정동
