시도,시군구,읍면동,단지코드,단지명,단지분류,도로명주소,세대수,총주차대수,cell_ycrd,cell_xcrd
경기도,용인수지구,풍덕천2동,A44899209,현대성우,아파트,경기도 용인시 수지구 풍덕천로 52,1239,1296,37.3182804,127.0902633
경기도,용인수지구,풍덕천2동,A44899006,신정마을7단지 상록아파트,아파트,경기도 용인시 수지구 풍덕천로 75,670,632,37.3208701,127.0899184
경기도,용인수지구,풍덕천2동,A44899307,신정마을9단지,아파트,경기도 용인시 수지구 풍덕천로 76,812,814,37.3196623,127.0919751
경기도,용인기흥구,동백2동,A44675112,초당마을삼부르네상스아파트,아파트,경기도 용인시 기흥구 동백1로 9,289,320,37.2642454,127.1574124
경기도,용인기흥구,동백2동,A44675304,초당마을 삼부르네상스,아파트,경기도 용인시 기흥구 동백1로 12,279,308,37.2633455,127.1582015
경기도,용인수지구,풍덕천2동,A44898708,신정마을주공1단지아파트,아파트,경기도 용인시 수지구 풍덕천로 91,1044,1045,37.3220492,127.0918527
경기도,용인기흥구,신갈동,A44696202,신갈신미주,아파트,경기도 용인시 기흥구 신갈로138번길 12,247,149,37.2783974,127.107181
경기도,용인수지구,풍덕천2동,A44899105,수지에듀파크,아파트,경기도 용인시 수지구 정평로13번길 20,279,283,37.317168,127.0866912
경기도,용인기흥구,보정동,A44697610,동원로얄듀크,아파트,경기도 용인시 기흥구 죽현로 12,706,927,37.318504,127.11007
경기도,용인기흥구,동백2동,A44691609,어은목마을 벽산블루밍,아파트,경기도 용인시 기흥구 동백2로 11,533,773,37.2682124,127.1546826
경기도,용인기흥구,동백2동,A44691608,동백역 경남아너스빌,아파트,경기도 용인시 기흥구 동백2로 12,592,650,37.2666613,127.1558939
경기도,용인기흥구,동백2동,A44671707,대원칸타빌,아파트,경기도 용인시 기흥구 동백2로 37,432,835,37.2694433,127.156581
경기도,용인기흥구,보라동,A44690404,한보라 에듀포레,아파트,경기도 용인시 기흥구 한보라1로43번길 22,446,497,37.2490286,127.1099826
경기도,용인기흥구,보라동,A44690405,한보라마을휴먼시아4단지,아파트,경기도 용인시 기흥구 한보라1로43번길 23,581,530,37.250131,127.1113527
경기도,용인기흥구,보라동,A44673703,삼성래미안,아파트,경기도 용인시 기흥구 한보라1로64번길 22,370,373,37.2517612,127.1063354
경기도,용인기흥구,신갈동,A44659803,인성마을현대,아파트,경기도 용인시 기흥구 용구대로 2242,293,215,37.2867008,127.1083516
경기도,용인기흥구,마북동,A44693706,연원마을현대,아파트,경기도 용인시 기흥구 연원로 60,424,765,37.3025605,127.112153
경기도,용인기흥구,보정동,A44693909,연원마을성원아파트,아파트,경기도 용인시 기흥구 연원로 49,691,1123,37.3036996,127.1100054
경기도,용인기흥구,서농동,A44695902,서그내마을SK,아파트,경기도 용인시 기흥구 예현로 15,807,1048,37.2445199,127.0716548
경기도,용인수지구,풍덕천2동,A44899102,신정마을우성,아파트,경기도 용인시 수지구 정평로 41,443,482,37.3199788,127.0861529
경기도,용인수지구,풍덕천2동,A44897804,신정마을성지,아파트,경기도 용인시 수지구 정평로 61,538,923,37.3214227,127.0866758
경기도,용인기흥구,보정동,A44691301,죽전누리에뜰,주상복합,경기도 용인시 기흥구 죽전로 20,200,268,37.320049,127.1108698
경기도,용인기흥구,기흥동,A44690101,매화마을 우남 퍼스트빌,아파트,경기도 용인시 기흥구 고매로34번길 10,166,171,37.2301155,127.1121365
경기도,용인기흥구,기흥동,A44657603,우림홀인원,아파트,경기도 용인시 기흥구 고매로34번길 31,299,361,37.2283451,127.1144572
경기도,용인수지구,풍덕천1동,A44875904,동보1차,아파트,경기도 용인시 수지구 풍덕천로 161,470,587,37.3256226,127.0979445
경기도,용인수지구,풍덕천1동,A44878407,수지푸르지오월드마크,주상복합,경기도 용인시 수지구 포은대로 467,198,258,37.3133529,127.0908014
경기도,용인수지구,풍덕천1동,A10025228,풍덕천동 한샘 더랜드마크,도시형 생활주택(주상복합),경기도 용인시 수지구 포은대로 477,220,244,37.3240079,127.1019727
경기도,용인수지구,상현1동,A44813009,서원마을3단지아이파크,아파트,경기도 용인시 수지구 포은대로 219,438,709,37.3081086,127.0806573
경기도,용인기흥구,보정동,A44677015,신촌마을포스홈타운1단지,아파트,경기도 용인시 기흥구 용구대로2518번길 15,884,1654,37.3106907,127.1101937
경기도,용인기흥구,기흥동,A44690201,불곡마을벽산블루밍,아파트,경기도 용인시 기흥구 고매로43번길 32-2,390,480,37.2323529,127.1174464
경기도,용인수지구,풍덕천1동,A44878309,수지현대아파트,아파트,경기도 용인시 수지구 수지로342번길 18,1168,871,37.3261735,127.0946781
경기도,용인수지구,상현1동,A44813001,풍산,아파트,경기도 용인시 수지구 수지로78번길 20,438,333,37.309859,127.0768963
경기도,용인기흥구,상하동,A44677402,인정프린스4차,아파트,경기도 용인시 기흥구 중부대로 820,367,238,37.2559873,127.1428991
경기도,용인기흥구,동백3동,A44691111,해든마을동문굿모닝힐,아파트,경기도 용인시 기흥구 동백죽전대로 455-10,512,619,37.2802174,127.1508744
경기도,용인기흥구,동백3동,A44691107,동백동원로얄듀크,아파트,경기도 용인시 기흥구 동백죽전대로 455-17,477,750,37.2795982,127.1490963
경기도,용인기흥구,보정동,A44691302,신촌마을상록데시앙,아파트,경기도 용인시 기흥구 보정로 26,230,262,37.3131032,127.1105962
경기도,용인기흥구,보정동,A44694013,동아솔레시티,아파트,경기도 용인시 기흥구 보정로 30,1701,3777,37.311563,127.1123596
경기도,용인수지구,신봉동,A44853602,한일유엔아이,아파트,경기도 용인시 수지구 신봉1로48번길 29,296,303,37.3243278,127.081438
경기도,용인수지구,신봉동,A44853605,서홍한화꿈에그린,아파트,경기도 용인시 수지구 신봉1로48번길 32,404,407,37.3233153,127.0811242
경기도,용인수지구,신봉동,A44853601,서홍마을벽산블루밍,아파트,경기도 용인시 수지구 신봉1로48번길 45,246,248,37.324157,127.082767
경기도,용인수지구,신봉동,A44815004,신봉마을자이3차,아파트,경기도 용인시 수지구 신봉1로71번길 25,401,442,37.3207041,127.078367
경기도,용인기흥구,보라동,A44695410,민속마을쌍용,아파트,경기도 용인시 기흥구 사은로126번길 10,1596,2776,37.2535722,127.1172429
경기도,용인수지구,성복동,A44898206,성복힐스테이트3차,아파트,경기도 용인시 수지구 성복2로 220,823,1674,37.3210477,127.0635893
경기도,용인수지구,성복동,A44898210,성복자이2차,아파트,경기도 용인시 수지구 성복2로 251,783,1732,37.3173486,127.0657805
경기도,용인기흥구,구성동,A44657207,장미마을 삼성래미안2차,아파트,경기도 용인시 기흥구 구성로 90,1219,1494,37.2929651,127.1183347
경기도,용인수지구,죽전1동,A44895021,죽전퍼스트하임,아파트,경기도 용인시 수지구 대지로 49,480,509,37.3295507,127.1145639
경기도,용인수지구,죽전1동,A44816008,꽃메마을현대홈타운4-4,아파트,경기도 용인시 수지구 푸른솔로 20,342,572,37.3216441,127.1163051
경기도,용인수지구,죽전1동,A44898312,도담마을뜨리에체,아파트,경기도 용인시 수지구 푸른솔로 49,430,430,37.3247753,127.1143729
경기도,용인수지구,죽전1동,A44816009,현대홈타운4차1단지,아파트,경기도 용인시 수지구 푸른솔로 55,351,591,37.3254573,127.1168878
경기도,용인수지구,죽전1동,A44854505,꽃메마을현대힐스테이트4차2단지,아파트,경기도 용인시 수지구 푸른솔로 56,254,266,37.3242317,127.116268
경기도,용인수지구,죽전1동,A44816108,도담마을 한양수자인,아파트,경기도 용인시 수지구 푸른솔로 76,332,347,37.3250982,127.1188711
경기도,용인수지구,죽전1동,A44854211,우미이노스빌1차,아파트,경기도 용인시 수지구 푸른솔로 88,418,424,37.326079,127.1195378
경기도,용인기흥구,영덕2동,A44672601,"청명호수마을신안인스빌1,2단지",아파트,경기도 용인시 기흥구 덕영대로 1871,1003,1536,37.2551407,127.0887786
경기도,용인기흥구,보정동,A44656712,죽현마을아이파크1차,아파트,경기도 용인시 기흥구 보정로 87,1466,1550,37.3179762,127.1138299
경기도,용인기흥구,보정동,A44691303,죽현마을LG자이,아파트,경기도 용인시 기흥구 보정로 88,238,553,37.317145,127.116421
경기도,용인기흥구,보라동,A44695301,기흥삼정,아파트,경기도 용인시 기흥구 사은로 64,299,243,37.2547375,127.1123312
경기도,용인기흥구,보라동,A44690402,화성파크드림아파트,아파트,경기도 용인시 기흥구 한보라2로 93,311,614,37.24867,127.1121499
경기도,용인기흥구,기흥동,A44679603,화성파크드림프라브,연립주택,경기도 용인시 기흥구 한보라2로 141,261,320,37.2453941,127.1106566
